Shape,Nanoparticle,Dissolution,Surface area,Surface charge,Surface coatings,Surface reactivity,Aggregation,Particle size,Administration route,Study type,Cytotoxicity,Neurological effects,Pulmonary effects,Fibrosis,RCNS effects,Immunological effects,Genotoxicity,Inflammation,NM Hazard
Amorph,TiO2,,51 - 101.25,,,,High,10 to 50,Inhalation,In vivo,,,Low,,,,,Low,Medium
Amorph,TiO2,,51 - 101.25,,,,High,10 to 50,Inhalation,In vivo,,,Low,,,,,Medium,High
Amorph,TiO2,,51 - 101.25,,,,High,10 to 50,Inhalation,In vivo,,,Low,,,,,Low,Medium
Amorph,TiO2,,51 - 101.25,,,,High,10 to 50,Inhalation,In vivo,,,Low,,,,,Low,Medium
Amorph,TiO2,,51 - 101.25,,,,High,10 to 50,Inhalation,In vivo,,,Low,,,,,Medium,High
Amorph,TiO2,,51 - 101.25,,,,High,10 to 50,Inhalation,In vivo,,,Low,,,,,Low,Medium
Sphere,Ag,,,,,,,10 to 50,Inhalation,In vivo,,,Medium,None,None,,,Low,High
Sphere,Ag,,,,,,Medium,>100,Inhalation,In vivo,,,Medium,None,None,,,Low,High
Sphere,Ag,,,,,,,10 to 50,Inhalation,In vivo,,,High,,,,,Medium,High
Sphere,Ag,,,,,,,10 to 50,Inhalation,In vivo,,,High,,,,,Medium,High
Sphere,Ag,,,,,,,10 to 50,Inhalation,In vivo,,,High,,,,,Medium,High
Sphere,Ag,,,,,,,10 to 50,Inhalation,In vivo,,,High,,,,,Medium,High
Sphere,Ag,,,,,,,10 to 50,Inhalation,In vivo,,,High,,,,,Medium,High
Sphere,Ag,,,,,,,10 to 50,Inhalation,In vivo,,,High,,,,,Medium,High
Sphere,Ag,,,,None,,,50 to 100,Inhalation,In vivo,,,Medium,,,,,Low,High
Sphere,Ag,,,,None,,,50 to 100,Inhalation,In vivo,,,Medium,,,,,Low,High
Sphere,Ag,,,,None,,,50 to 100,Inhalation,In vivo,,,Medium,,,,,Low,High
Sphere,Ag,,,,None,,,50 to 100,Inhalation,In vivo,,,Medium,,,,,Low,High
Sphere,Ag,,,,,,,>100,Inhalation,In vivo,,,Medium,,,,,Low,High
Sphere,Ag,,,,,,,>100,Inhalation,In vivo,,,Medium,,,,,Low,High
Sphere,Ag,,,,,,,>100,Inhalation,In vivo,,,Medium,,,,,Low,High
Amorph,TiO2,,189 - 2025,,,,,10 to 50,,In vitro,None,,,,,,,,None
Amorph,TiO2,,189 - 2025,,,,,10 to 50,,In vitro,,,,,,,None,,None
Amorph,TiO2,,189 - 2025,,,,,10 to 50,,In vitro,,,,,,,Low,,Low
Amorph,TiO2,,189 - 2025,,,,,10 to 50,,In vitro,,,,,,,None,,None
Elongated,C,,189 - 2025,,,,,>100,,In vitro,Low,,,,,,,,Low
Elongated,C,,189 - 2025,,,,,>100,,In vitro,,,,,,,None,,None
Elongated,C,,189 - 2025,,,,,>100,,In vitro,,,,,,,Medium,,Medium
Elongated,C,,51 - 101.25,,,,,>100,,In vitro,,,,,,,None,,None
Elongated,C,,51 - 101.25,,,,,>100,,In vitro,,,,,,,Low,,Low
Elongated,C,,51 - 101.25,,,,,>100,,In vitro,,,,,,,None,,None
Elongated,Cellulose,,,,Sulphate,,Low,>100,,In vitro,Low,,,,,,,,Low
Elongated,Cellulose,,,,Sulphate,,Low,>100,,In vitro,Low,,,,,,,,Low
Elongated,Cellulose,,,,Sulphate,,Low,>100,,In vitro,Low,,,,,,,,Low
Elongated,Cellulose,,,,Sulphate,,Low,>100,,In vitro,Low,,,,,,,,Low
Elongated,Cellulose,,,,Sulphate,,Low,>100,,In vitro,Low,,,,,,,,Low
Elongated,Cellulose,,,,Sulphate,,Low,>100,,In vitro,None,,,,,,,,None
Elongated,Cellulose,,,,Sulphate,,Low,>100,,In vitro,None,,,,,,,,None
Elongated,Cellulose,,,,Sulphate,,Low,>100,,In vitro,,,,,,,,None,None
Elongated,Cellulose,,,,Sulphate,,Low,>100,,In vitro,,,,,,,,None,None
Amorph,TiO2,,,,,,,>100,Injection,In vivo,,Medium,None,None,,,,None,Medium
Amorph,TiO2,,,,,,,>100,Injection,In vivo,,Medium,None,None,,,,None,Medium
Amorph,TiO2,,,,,,,>100,Injection,In vivo,,Medium,None,None,,,,None,Medium
Amorph,TiO2,,,,,,,>100,Injection,In vivo,,Medium,None,None,,,,None,Medium
Amorph,TiO2,,,,,,,>100,Injection,In vivo,,Medium,None,None,,,,None,Medium
Amorph,TiO2,,,,,,,>100,Injection,In vivo,,Medium,None,None,,,,None,Medium
Amorph,TiO2,,,,,,,>100,Injection,In vivo,,Medium,None,None,,,,None,Medium
Amorph,TiO2,,,,,,,>100,Injection,In vivo,,Medium,None,None,,,,None,Medium
Amorph,TiO2,,,,,,,>100,Injection,In vivo,,Medium,Low,Low,,,,Medium,High
Amorph,TiO2,,,,,,,>100,Injection,In vivo,,Medium,Medium,Low,,,,Medium,High
Amorph,TiO2,,,,,,,>100,Injection,In vivo,,Medium,Low,Low,,,,Medium,High
Amorph,TiO2,,,,,,,>100,Injection,In vivo,,Medium,,,,,,,Medium
Amorph,TiO2,,,,,,,>100,Injection,In vivo,,Medium,,,,,,,Medium
Amorph,TiO2,,,,,,,>100,Injection,In vivo,,Medium,,,,,,,Medium
Amorph,TiO2,,,,,,,>100,Injection,In vivo,,Medium,,,,,,,Medium
Amorph,TiO2,,,,,,,>100,Injection,In vivo,,Medium,,,,,,,Medium
Amorph,TiO2,,,,,,,>100,Injection,In vivo,,Medium,,,,,,,Medium
Amorph,TiO2,,,,,,,>100,Injection,In vivo,,Medium,,,,,,,Medium
Amorph,TiO2,,,,,,,>100,Injection,In vivo,,Medium,,,,,,,Medium
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,Low,,,,,,,,Low
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,Medium,,,,,,,,Medium
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,Medium,,,,,,,,Medium
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,Medium,,,,,,,,Medium
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,Low,,,,,,,,Low
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,Medium,,,,,,,,Medium
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,High,,,,,,,,High
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,High,,,,,,,,High
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,High,,,,,,,,High
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,Medium,,,,,,,,Medium
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,,,,,,,,None,None
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,Medium,,,,,,,,Medium
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,Medium,,,,,,,,Medium
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,Medium,,,,,,,,Medium
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,High,,,,,,,,High
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,High,,,,,,,,High
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,High,,,,,,,,High
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,High,,,,,,,,High
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,High,,,,,,,,High
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Elongated,ZnO,,0 - 15,0 to 25,None,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,,0 - 15,0 to 25,None,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,,0 - 15,0 to 25,None,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,,0 - 15,0 to 25,None,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,,0 - 15,0 to 25,None,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,,0 - 15,0 to 25,None,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,,0 - 15,0 to 25,None,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,,0 - 15,0 to 25,None,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,,0 - 15,0 to 25,None,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,,0 - 15,0 to 25,None,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,,0 - 15,0 to 25,None,,Medium,>100,,In vitro,Medium,,,,,,,,Medium
Elongated,ZnO,,0 - 15,0 to 25,None,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,,0 - 15,0 to 25,None,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,,0 - 15,0 to 25,None,,Medium,>100,,In vitro,Medium,,,,,,,,Medium
Elongated,ZnO,,0 - 15,0 to 25,None,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,,0 - 15,0 to 25,None,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,,0 - 15,0 to 25,None,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,,0 - 15,0 to 25,None,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,,0 - 15,0 to 25,None,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,,0 - 15,0 to 25,None,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,,0 - 15,0 to 25,None,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,,0 - 15,0 to 25,None,,Medium,>100,,In vitro,,,,,,,,Low,Low
Elongated,ZnO,0 to 25%,15 - 51,,Triethoxycapryl silane,,Medium,>100,,In vitro,Low,,,,,,,,Low
Elongated,ZnO,0 to 25%,15 - 51,,Triethoxycapryl silane,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,0 to 25%,15 - 51,,Triethoxycapryl silane,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,0 to 25%,15 - 51,,Triethoxycapryl silane,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,0 to 25%,15 - 51,,Triethoxycapryl silane,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,0 to 25%,15 - 51,,Triethoxycapryl silane,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,0 to 25%,15 - 51,,Triethoxycapryl silane,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,0 to 25%,15 - 51,,Triethoxycapryl silane,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,0 to 25%,15 - 51,,Triethoxycapryl silane,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,0 to 25%,15 - 51,,Triethoxycapryl silane,,Medium,>100,,In vitro,Medium,,,,,,,,Medium
Elongated,ZnO,0 to 25%,15 - 51,,Triethoxycapryl silane,,Medium,>100,,In vitro,Medium,,,,,,,,Medium
Elongated,ZnO,0 to 25%,15 - 51,,Triethoxycapryl silane,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,0 to 25%,15 - 51,,Triethoxycapryl silane,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,0 to 25%,15 - 51,,Triethoxycapryl silane,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,0 to 25%,15 - 51,,Triethoxycapryl silane,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,0 to 25%,15 - 51,,Triethoxycapryl silane,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,0 to 25%,15 - 51,,Triethoxycapryl silane,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,0 to 25%,15 - 51,,Triethoxycapryl silane,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,0 to 25%,15 - 51,,Triethoxycapryl silane,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,0 to 25%,15 - 51,,Triethoxycapryl silane,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,0 to 25%,15 - 51,,Triethoxycapryl silane,,Medium,>100,,In vitro,,,,,,,,Low,Low
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,High,,,,,,,,High
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,Low,,,,,,,,Low
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,Medium,,,,,,,,Medium
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,Medium,,,,,,,,Medium
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,Low,,,,,,,,Low
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,Low,,,,,,,,Low
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,High,,,,,,,,High
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,High,,,,,,,,High
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,High,,,,,,,,High
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,High,,,,,,,,High
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,High,,,,,,,,High
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,Low,,,,,,,,Low
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,Low,,,,,,,,Low
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,Low,,,,,,,,Low
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,,,,,,,,Low,Low
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,High,,,,,,,,High
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,Medium,,,,,,,,Medium
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,Medium,,,,,,,,Medium
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,High,,,,,,,,High
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,Medium,,,,,,,,Medium
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,Medium,,,,,,,,Medium
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,High,,,,,,,,High
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,High,,,,,,,,High
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,High,,,,,,,,High
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,High,,,,,,,,High
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,High,,,,,,,,High
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,High,,,,,,,,High
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,High,,,,,,,,High
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,Low,,,,,,,,Low
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,Low,,,,,,,,Low
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,High,,,,,,,,High
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,High,,,,,,,,High
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,High,,,,,,,,High
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,High,,,,,,,,High
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,High,,,,,,,,High
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,,,,,,,,None,None
Sphere,TiO2,,,,AHPP,,Low,10 to 50,,In vitro,None,,,,,,,,None
